1909,6904
1911,6933
1914,6938
1915,7007
1916,6998
1917,6983
1918,6930
1919,6985
1920,6925
1923,6953
1924,6931
1925,6942
1926,6976
1927,6968
1928,6960
1929,6900
1930,6989
1931,7016
1932,6942
1933,6973
1934,6988
1936,7050
1937,7066
1938,6953
1939,7018
1941,7054
1942,7005
1943,6961
1944,7012
1945,6999
1946,7020
1947,7047
1948,7001
1949,6946
1950,7009
1951,7114
1952,7060
1953,7021
1954,7043
1955,7083
1956,7047
1957,7039
1958,7084
1959,7053
1960,7148
1961,7116
1962,7098
1963,7120
1964,7041
1965,7105
1968,7106
1969,7160
1970,7139
1971,7122
1972,7124
1973,7070
1974,7103
1975,7080
1976,7089
1977,7108
1978,7123
1979,7147
1980,7122
1981,7124
1982,7112
1983,7099
1984,7140
1985,7111
1986,7127
1987,7143
1988,7116
1989,7062
1990,7059
1991,7082
1992,7073
1993,7082
1994,7110
1995,7115
1996,7171
1997,7144
1998,7143
1999,7150
2000,7148
